QUOTE_DATE,UNDERLYING_LAST,EXPIRE_DATE,P_BID,P_ASK,STRIKE,P_IV
2016-01-20,1859.48,2017-01-20,5.9,7.99,875.0,0.40403
2016-01-20,1859.48,2017-01-20,6.71,8.81,900.0,0.39837
2016-01-20,1859.48,2017-01-20,7.59,9.6,925.0,0.39238
2016-01-20,1859.48,2017-01-20,8.5,10.6,950.0,0.38641
2016-01-20,1859.48,2017-01-20,9.51,11.6,975.0,0.38033
2016-01-20,1859.48,2017-01-20,10.6,12.7,1000.0,0.3751
2016-01-20,1859.48,2017-01-20,11.9,14.01,1025.0,0.36992
2016-01-20,1859.48,2017-01-20,13.1,15.2,1050.0,0.36336
2016-01-20,1859.48,2017-01-20,14.5,16.59,1075.0,0.35811
2016-01-20,1859.48,2017-01-20,16.1,18.2,1100.0,0.35314
2016-01-20,1859.48,2017-01-20,17.7,19.8,1125.0,0.34793
2016-01-20,1859.48,2017-01-20,19.4,21.51,1150.0,0.34241
2016-01-20,1859.48,2017-01-20,21.3,23.4,1175.0,0.3378
2016-01-20,1859.48,2017-01-20,23.4,25.5,1200.0,0.33225
2016-01-20,1859.48,2017-01-20,25.6,27.7,1225.0,0.32723
2016-01-20,1859.48,2017-01-20,27.81,30.01,1250.0,0.32272
2016-01-20,1859.48,2017-01-20,30.41,32.6,1275.0,0.31716
2016-01-20,1859.48,2017-01-20,32.91,35.21,1300.0,0.31236
2016-01-20,1859.48,2017-01-20,35.79,38.11,1325.0,0.30765
2016-01-20,1859.48,2017-01-20,38.8,41.21,1350.0,0.30266
2016-01-20,1859.48,2017-01-20,41.91,44.29,1375.0,0.29755
2016-01-20,1859.48,2017-01-20,45.5,47.89,1400.0,0.29263
2016-01-20,1859.48,2017-01-20,49.0,51.5,1425.0,0.28706
2016-01-20,1859.48,2017-01-20,53.0,55.6,1450.0,0.28334
2016-01-20,1859.48,2017-01-20,57.2,59.79,1475.0,0.2785
2016-01-20,1859.48,2017-01-20,61.61,64.3,1500.0,0.27366
2016-01-20,1859.48,2017-01-20,66.29,69.0,1525.0,0.26802
2016-01-20,1859.48,2017-01-20,71.1,73.89,1550.0,0.26297
2016-01-20,1859.48,2017-01-20,76.4,79.31,1575.0,0.25853
2016-01-20,1859.48,2017-01-20,82.1,85.0,1600.0,0.25373
2016-01-20,1859.48,2017-01-20,88.4,91.3,1625.0,0.24869
2016-01-20,1859.48,2017-01-20,94.79,97.7,1650.0,0.24447
2016-01-20,1859.48,2017-01-20,101.59,104.59,1675.0,0.23958
2016-01-20,1859.48,2017-01-20,108.51,111.6,1700.0,0.2342
2016-01-20,1859.48,2017-01-20,116.5,119.7,1725.0,0.22977
2016-01-20,1859.48,2017-01-20,124.4,127.61,1750.0,0.22459
2016-01-20,1859.48,2017-01-20,133.01,136.3,1775.0,0.21925
2016-01-20,1859.48,2017-01-20,142.29,145.61,1800.0,0.2146
2016-01-20,1859.48,2017-01-20,152.01,155.41,1825.0,0.2096
2016-01-20,1859.48,2017-01-20,162.39,165.89,1850.0,0.20556
2016-01-20,1859.48,2017-01-20,173.29,176.81,1875.0,0.20086
2016-01-20,1859.48,2017-01-20,184.89,188.51,1900.0,0.19523
2016-01-20,1859.48,2017-01-20,197.1,200.7,1925.0,0.19078
2016-01-20,1859.48,2017-01-20,210.0,213.7,1950.0,0.1858
2016-01-20,1859.48,2017-01-20,223.59,227.39,1975.0,0.17985
2016-01-20,1859.48,2017-01-20,237.9,241.8,2000.0,0.17491
2016-01-20,1859.48,2017-01-20,252.99,257.0,2025.0,0.16984
2016-01-20,1859.48,2017-01-20,268.89,273.0,2050.0,0.16434
2016-01-20,1859.48,2017-01-20,285.5,289.7,2075.0,0.1588
2016-01-20,1859.48,2017-01-20,302.99,307.21,2100.0,0.15297
2016-01-20,1859.48,2017-01-20,321.2,325.5,2125.0,0.14615
2016-01-20,1859.48,2017-01-20,340.2,344.6,2150.0,0.13933
2016-01-20,1859.48,2017-01-20,360.29,364.7,2175.0,0.13211
2016-01-20,1859.48,2017-01-20,380.59,385.19,2200.0,0.12159
2016-01-20,1859.48,2017-01-20,401.89,406.5,2225.0,0.10806
2016-01-20,1859.48,2017-01-20,423.79,428.5,2250.0,0.00031
2016-01-20,1859.48,2017-01-20,446.3,451.09,2275.0,0.00055
2016-01-20,1859.48,2017-01-20,469.2,474.2,2300.0,-0.00037
2016-01-20,1859.48,2017-01-20,492.79,497.8,2325.0,0.00022
2016-01-20,1859.48,2017-01-20,516.5,521.6,2350.0,0.00013
2016-01-20,1859.48,2017-01-20,540.1,545.3,2375.0,6e-05
2016-01-20,1859.48,2017-01-20,564.5,569.7,2400.0,-0.00039
2016-01-20,1859.48,2017-01-20,588.81,594.01,2425.0,0.00059
2016-01-20,1859.48,2017-01-20,612.7,617.99,2450.0,0.0005
2016-01-20,1859.48,2017-01-20,637.19,642.5,2475.0,0.00026
2016-01-20,1859.48,2017-01-20,661.8,667.0,2500.0,0.00032
2016-01-20,1859.48,2017-01-20,686.39,691.69,2525.0,0.00013
2016-01-20,1859.48,2017-01-20,711.31,716.61,2550.0,-0.00021
2016-01-20,1859.48,2017-01-20,736.0,741.2,2575.0,-1e-05
2016-01-20,1859.48,2017-01-20,760.2,765.4,2600.0,0.00051
2016-01-20,1859.48,2017-01-20,805.6,822.2,2650.0,0.00011
2016-01-20,1859.48,2017-01-20,855.2,871.2,2700.0,-0.00018
2016-01-20,1859.48,2017-01-20,904.41,918.3,2750.0,0.00059
2016-01-20,1859.48,2017-01-20,958.8,964.1,2800.0,0.00043
2016-01-20,1859.48,2017-01-20,1007.99,1013.29,2850.0,0.00041
